actor_pseudo_id,event_hour,day_of_week,month,quarter,is_weekend,is_business_hours,is_night_login,ip_country,continent,ip_version,login_type,login_challenge_method,new_ip,distinct_ips_7d,distinct_ips_30d,is_new_country,is_new_region,is_new_city,distinct_countries_cumulative,distinct_regions_cumulative,distinct_cities_cumulative,country_changed,continent_changed,countries_seen_30d,regions_seen_30d,cities_seen_30d,logins_24h,logins_7d,logins_30d,avg_logins_per_day,hours_since_last_login,days_since_first_login,abnormal_login_hour,abnormal_weekday,impossible_travel,travel_distance_km,travel_speed_kmh,multiple_country_logins_24h,distinct_users_per_network_24h,geo_jump,risk_score,risk_level,label
U000140,18.0,3.0,1.0,1.0,0,1,0,Angola,Africa,4.0,reauth,password,0,1.0,1.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,8,10,0.56,10.32,17.0,1,0,0,0.0,0.0,0,59.0,0,90.77,high,0
U032803,12.0,4.0,5.0,2.0,0,1,0,Brazil,Americas,4.0,reauth,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U029667,15.0,0.0,1.0,1.0,0,1,0,Brazil,Americas,4.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000160,9.0,4.0,1.0,1.0,0,1,0,Angola,Africa,4.0,reauth,password,0,1.0,1.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,7,11,0.58,20.14,18.0,0,0,0,0.0,0.0,0,50.0,0,51.5,medium,0
U000052,20.0,5.0,5.0,2.0,1,0,0,Angola,Africa,6.0,google_password,password,1,4.0,11.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,7,16,0.53,34.87,143.0,0,1,0,6763.24,193.96,0,1.0,0,-39.97,low,0
U006834,9.0,5.0,5.0,2.0,1,1,0,Angola,Africa,4.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,1,0,0.0,0.0,0,1.0,2,38.03,medium,0
U005166,13.0,0.0,1.0,1.0,0,1,0,Angola,Africa,4.0,google_password,none,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U019159,17.0,1.0,2.0,1.0,0,1,0,Brazil,Americas,4.0,reauth,none,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U033054,11.0,2.0,1.0,1.0,0,1,0,Brazil,Americas,4.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000714,18.0,0.0,4.0,2.0,0,1,0,Angola,Africa,4.0,reauth,none,1,2.0,3.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,2,3,0.11,118.84,26.0,0,0,0,0.0,0.0,0,2.0,0,-38.94,low,0
U000156,9.0,0.0,1.0,1.0,0,1,0,Angola,Africa,4.0,google_password,password,0,1.0,1.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,2,18,0.86,161.84,20.0,0,0,0,0.0,0.0,0,35.0,0,36.05,low,0
U030591,9.0,1.0,6.0,2.0,0,1,0,Brazil,Americas,6.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000287,20.0,2.0,5.0,2.0,0,0,0,Angola,Africa,4.0,exchange,none,1,1.0,1.0,0,0,0,2,2,4,0,0,1.0,1.0,1.0,1,1,1,0.03,721.85,157.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
U000186,16.0,0.0,12.0,4.0,0,1,0,Angola,Africa,4.0,google_password,password,1,2.0,2.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,2,2,2.0,1.75,0.0,1,0,0,0.0,0.0,0,1.0,0,-9.97,low,0
U033809,9.0,5.0,4.0,2.0,1,1,0,Brazil,Americas,4.0,reauth,none,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,1,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000715,13.0,2.0,4.0,2.0,0,1,0,Angola,Africa,4.0,google_password,password,1,1.0,7.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,1,10,0.33,210.62,47.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
U000021,9.0,3.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,4.0,10.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,4,10,0.33,42.64,100.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
U000069,7.0,1.0,12.0,4.0,0,0,0,Angola,Africa,4.0,reauth,password,0,1.0,1.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,3,7,0.78,16.56,8.0,0,0,0,0.0,0.0,0,40.0,0,41.2,medium,0
U007361,6.0,1.0,1.0,1.0,0,0,1,Angola,Africa,6.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000483,10.0,1.0,5.0,2.0,0,1,0,Angola,Africa,4.0,reauth,password,0,1.0,1.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,2,13,0.43,26.6,127.0,0,0,0,0.0,0.0,0,53.0,0,54.59,medium,0
U036093,4.0,2.0,6.0,2.0,0,0,1,Brazil,Americas,4.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U014945,12.0,3.0,1.0,1.0,0,1,0,Brazil,Americas,4.0,reauth,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U025379,15.0,3.0,1.0,1.0,0,1,0,Brazil,Americas,4.0,reauth,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000497,19.0,2.0,1.0,1.0,0,0,0,Angola,Africa,4.0,google_password,password,0,2.0,2.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,5,5,1.25,0.15,3.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
U011530,10.0,2.0,1.0,1.0,0,1,0,Angola,Africa,4.0,google_password,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,2.0,2,39.06,medium,0
U019851,14.0,0.0,1.0,1.0,0,1,0,Brazil,Americas,4.0,exchange,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000088,14.0,5.0,1.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,11.0,40.0,0,0,0,1,1,4,0,0,1.0,1.0,2.0,1,13,46,1.53,43.02,38.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
U000318,11.0,4.0,6.0,2.0,0,1,0,Angola,Africa,4.0,google_password,password,0,2.0,5.0,0,0,0,3,3,6,0,0,2.0,2.0,2.0,1,2,16,0.53,163.9,185.0,0,0,0,0.0,0.0,1,13.0,0,-14.61,low,0
U034368,11.0,6.0,6.0,2.0,1,1,0,Brazil,Americas,4.0,reauth,password,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,1,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000549,12.0,1.0,4.0,2.0,0,1,0,Angola,Africa,4.0,reauth,password,0,2.0,3.0,0,0,0,1,1,2,0,0,1.0,1.0,2.0,7,11,44,1.47,1.22,98.0,0,0,0,0.0,0.0,0,64.0,0,65.92,high,0
U000138,14.0,4.0,4.0,2.0,0,1,0,Angola,Africa,4.0,reauth,password,0,1.0,1.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,27,61,2.03,3.97,123.0,1,0,0,0.0,0.0,0,64.0,0,95.92,high,1
U016570,14.0,5.0,5.0,2.0,1,1,0,Brazil,Americas,4.0,reauth,none,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,1,0,0.0,0.0,0,1.0,2,38.03,medium,0
U000148,19.0,1.0,6.0,2.0,0,0,0,France,Europe,4.0,exchange,none,1,2.0,14.0,0,0,0,8,8,12,1,1,4.0,4.0,5.0,1,2,14,0.47,60.2,154.0,0,0,0,0.0,0.0,1,1.0,2,10.03,low,0
