record_id,actor_pseudo_id,event_hour,day_of_week,month,quarter,is_weekend,is_business_hours,is_night_login,ip_country,continent,ip_version,login_type,login_challenge_method,new_ip,distinct_ips_7d,distinct_ips_30d,is_new_country,is_new_region,is_new_city,distinct_countries_cumulative,distinct_regions_cumulative,distinct_cities_cumulative,country_changed,continent_changed,countries_seen_30d,regions_seen_30d,cities_seen_30d,logins_24h,logins_7d,logins_30d,avg_logins_per_day,hours_since_last_login,days_since_first_login,abnormal_login_hour,abnormal_weekday,impossible_travel,travel_distance_km,travel_speed_kmh,multiple_country_logins_24h,distinct_users_per_network_24h,geo_jump,risk_score,risk_level,label
1504,U000001,21.0,4.0,12.0,4.0,0,0,0,Angola,Africa,4.0,exchange,none,1,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0,1.0,2,38.03,medium,0
1393,U000001,11.0,6.0,12.0,4.0,1,1,0,Angola,Africa,4.0,exchange,none,1,2.0,2.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,2,2,1.0,38.06,1.0,1,1,0,0.0,0.0,0,1.0,0,-9.97,low,0
1207,U000001,11.0,0.0,12.0,4.0,0,1,0,Angola,Africa,6.0,exchange,none,1,3.0,3.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,3,3,1.0,24.14,2.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
1206,U000001,11.0,0.0,12.0,4.0,0,1,0,Angola,Africa,6.0,exchange,none,0,3.0,3.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,4,4,1.33,0.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
1205,U000001,11.0,0.0,12.0,4.0,0,1,0,Angola,Africa,6.0,exchange,none,0,3.0,3.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,5,5,1.67,0.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
1204,U000001,11.0,0.0,12.0,4.0,0,1,0,Angola,Africa,6.0,exchange,none,0,3.0,3.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,4,6,6,2.0,0.0,2.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
969,U000001,16.0,1.0,12.0,4.0,0,1,0,Angola,Africa,4.0,exchange,none,1,4.0,4.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,7,7,1.75,28.66,3.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
822,U000001,23.0,2.0,12.0,4.0,0,0,1,Angola,Africa,4.0,exchange,none,1,5.0,5.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,8,8,1.33,31.03,5.0,1,0,0,0.0,0.0,0,1.0,0,-9.97,low,0
745,U000001,10.0,4.0,12.0,4.0,0,1,0,Angola,Africa,4.0,exchange,none,1,6.0,6.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,9,9,1.29,35.21,6.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
654,U000001,20.0,5.0,12.0,4.0,1,0,0,Angola,Africa,4.0,exchange,none,1,6.0,7.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,9,10,1.25,33.86,7.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
388,U000001,15.0,0.0,12.0,4.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,8.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,5,11,1.1,43.74,9.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
158,U000001,16.0,1.0,12.0,4.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,9.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,5,12,1.09,24.8,10.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
157,U000001,16.0,1.0,12.0,4.0,0,1,0,Angola,Africa,4.0,exchange,none,0,5.0,9.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,6,13,1.18,0.0,10.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
1,U000001,23.0,2.0,12.0,4.0,0,0,1,Angola,Africa,4.0,exchange,none,1,5.0,10.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,6,14,1.08,31.22,12.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
3350,U000001,7.0,4.0,1.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,6.0,11.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,7,15,1.07,31.26,13.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
3273,U000001,7.0,5.0,1.0,1.0,1,0,0,Angola,Africa,4.0,exchange,none,1,6.0,12.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,7,16,1.07,24.7,14.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
2957,U000001,12.0,0.0,1.0,1.0,0,1,0,Angola,Africa,6.0,exchange,none,1,6.0,13.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,7,17,1.0,52.76,16.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
2379,U000001,10.0,2.0,1.0,1.0,0,1,0,Angola,Africa,6.0,exchange,none,1,5.0,14.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,5,18,0.95,46.25,18.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
35594,U000001,10.0,6.0,1.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,3.0,15.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,3,19,0.83,95.53,22.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
35206,U000001,9.0,1.0,1.0,1.0,0,1,0,Angola,Africa,6.0,exchange,none,1,3.0,16.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,3,20,0.8,46.7,24.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
34817,U000001,15.0,2.0,1.0,1.0,0,1,0,Angola,Africa,6.0,exchange,none,1,3.0,17.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,3,21,0.81,29.94,25.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
34432,U000001,7.0,4.0,1.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,4.0,18.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,4,22,0.79,40.0,27.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
34147,U000001,12.0,5.0,1.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,19.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,5,23,0.79,29.12,28.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
34037,U000001,12.0,6.0,1.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,20.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,5,24,0.8,24.59,29.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
37867,U000001,8.0,2.0,1.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,19.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,5,23,0.77,67.93,32.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
39685,U000001,9.0,0.0,2.0,1.0,0,1,0,Angola,Africa,6.0,exchange,none,1,1.0,10.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,1,10,0.33,289.0,44.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
39266,U000001,18.0,2.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,2.0,10.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,2,10,0.33,56.61,46.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
38753,U000001,16.0,4.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,3.0,10.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,1,3,10,0.33,45.8,48.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
38708,U000001,5.0,5.0,2.0,1.0,1,0,1,Angola,Africa,4.0,exchange,none,1,4.0,11.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,4,11,0.37,13.64,49.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
38662,U000001,16.0,5.0,2.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,12.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,5,12,0.4,11.19,49.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
38618,U000001,12.0,6.0,2.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,6.0,13.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,2,6,13,0.43,19.42,50.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
38617,U000001,12.0,6.0,2.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,0,6.0,13.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,7,14,0.47,0.05,50.0,0,1,0,0.0,0.0,0,1.0,0,1.03,low,0
38575,U000001,22.0,6.0,2.0,1.0,1,0,1,Angola,Africa,4.0,exchange,none,1,7.0,14.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,8,15,0.5,9.77,51.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
38512,U000001,8.0,0.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,8.0,15.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,4,9,16,0.53,10.33,51.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
38511,U000001,8.0,0.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,0,8.0,15.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,5,10,17,0.57,0.0,51.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
38510,U000001,8.0,0.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,0,8.0,15.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,6,11,18,0.6,0.0,51.0,0,0,0,0.0,0.0,0,1.0,0,1.03,low,0
38246,U000001,19.0,0.0,2.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,8.0,16.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,5,11,19,0.63,10.56,51.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
38215,U000001,6.0,1.0,2.0,1.0,0,0,1,Angola,Africa,4.0,exchange,none,1,9.0,17.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,5,12,20,0.67,11.72,52.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
37956,U000001,18.0,1.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,10.0,17.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,13,20,0.67,11.3,52.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
41883,U000001,6.0,2.0,2.0,1.0,0,0,1,Angola,Africa,4.0,exchange,none,1,11.0,18.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,14,21,0.7,12.2,53.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
41652,U000001,14.0,2.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,12.0,19.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,15,22,0.73,8.0,53.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
41588,U000001,22.0,2.0,2.0,1.0,0,0,1,Angola,Africa,4.0,exchange,none,1,12.0,20.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,15,23,0.77,8.06,54.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
41520,U000001,8.0,3.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,13.0,21.0,0,0,0,1,1,1,0,0,1.0,1.0,1.0,3,16,24,0.8,9.92,54.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
41240,U000001,16.0,3.0,2.0,1.0,0,1,0,Canada,America,4.0,exchange,none,1,14.0,21.0,1,1,1,2,2,2,1,1,2.0,2.0,2.0,3,17,24,0.8,8.07,54.0,0,0,1,18695.46,2316.66,1,1.0,2,10.03,low,0
40695,U000001,16.0,1.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,7.0,18.0,0,0,0,2,2,2,1,1,2.0,2.0,2.0,1,7,21,0.7,120.4,59.0,0,0,0,18695.46,155.28,1,1.0,2,10.03,low,0
40683,U000001,19.0,1.0,2.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,7.0,19.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,2,7,22,0.73,2.92,59.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
40417,U000001,15.0,2.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,6.0,20.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,3,6,23,0.77,20.27,60.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
40035,U000001,8.0,4.0,2.0,1.0,0,1,0,Angola,Africa,6.0,exchange,none,1,4.0,21.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,4,24,0.8,40.2,62.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
43007,U000001,14.0,5.0,2.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,21.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,5,24,0.8,30.48,63.0,0,1,0,0.0,0.0,1,1.0,0,-67.97,low,0
42930,U000001,14.0,6.0,2.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,6,25,0.83,24.27,64.0,0,1,0,0.0,0.0,1,1.0,0,-67.97,low,0
42839,U000001,7.0,0.0,2.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,7.0,23.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,2,7,26,0.87,16.78,65.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
